RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2016-06-30
2620,766,Armstrong County,County,PA,PA,Pittsburgh,42,5,93444
789,767,Wayne County,County,IN,IN,Richmond,18,177,93452
1233,768,Morgan County,County,IN,IN,Indianapolis-Carmel-Anderson,18,109,144186
1063,769,Greene County,County,TN,TN,Greeneville,47,59,100621
1465,770,Walker County,County,GA,GA,Chattanooga,13,295,102370
2917,771,Darlington County,County,SC,SC,Florence,45,31,82620
1538,772,Bedford County,County,VA,VA,Lynchburg,51,19,196667
1149,773,Lonoke County,County,AR,AR,Little Rock-North Little Rock-Conway,5,85,133337
1466,774,Walker County,County,TX,TX,Huntsville,48,471,160540
3015,775,Rutherford County,County,NC,NC,Forest City,37,161,104812
574,776,Jones County,County,MS,MS,Laurel,28,67,95427
2212,777,Columbia County,County,FL,FL,Lake City,12,23,130370
2216,778,Columbia County,County,PA,PA,Bloomsburg-Berwick,42,37,135530
356,779,Adams County,County,IL,IL,Quincy,17,1,109327
578,780,Kauai County,County,HI,HI,Kapaa,15,7,515998
2785,781,Marquette County,County,MI,MI,Marquette,26,103,139765
756,782,Troup County,County,GA,GA,LaGrange,13,285,107193
1464,783,Walker County,County,AL,AL,Birmingham-Hoover,1,127,85053
2942,784,James City County,County,VA,VA,Virginia Beach-Norfolk-Newport News,51,95,309945
3093,785,Grand Forks County,County,ND,ND,Grand Forks,38,35,213474
1852,786,Laurens County,County,SC,SC,Greenville-Anderson-Mauldin,45,59,80023
1170,787,Marion County,County,OH,OH,Marion,39,101,86140
2179,788,Carteret County,County,NC,NC,Morehead City,37,31,243051
1842,789,Klamath County,County,OR,OR,Klamath Falls,41,35,
3079,790,Williamson County,County,IL,IL,Carbondale-Marion,17,199,92437
2834,791,Robertson County,County,TN,TN,Nashville-Davidson--Murfreesboro--Franklin,47,147,171189
976,792,Dallas County,County,IA,IA,Des Moines-West Des Moines,19,49,229562
702,793,Salem County,County,NJ,NJ,Philadelphia-Camden-Wilmington,34,33,
900,794,Butler County,County,KS,KS,Wichita,20,15,138964
1479,795,Warren County,County,NY,NY,Glens Falls,36,113,195159
931,796,Chaves County,County,NM,NM,Roswell,35,5,85958
2335,797,Harrison County,County,TX,TX,Marshall,48,203,123372
2789,798,McCracken County,County,KY,KY,Paducah,21,145,99949
345,799,York County,County,VA,VA,Virginia Beach-Norfolk-Newport News,51,199,282924
2961,800,Livingston County,County,NY,NY,Rochester,36,51,120858
3248,801,Saint Francois County,County,MO,MO,Farmington,29,187,95091
915,802,Carbon County,County,PA,PA,Allentown-Bethlehem-Easton,42,25,138916
2261,803,Fauquier County,County,VA,VA,Washington-Arlington-Alexandria,51,61,381289
276,804,Pike County,County,KY,KY,,21,195,40091
3190,805,San Patricio County,County,TX,TX,Corpus Christi,48,409,137284
841,806,Athens County,County,OH,OH,Athens,39,9,96597
77,807,Lea County,County,NM,NM,Hobbs,35,25,145339
217,808,Lake County,County,CA,CA,Clearlake,6,33,198149
3108,809,Nacogdoches County,County,TX,TX,Nacogdoches,48,347,132783
2340,810,Herkimer County,County,NY,NY,Utica-Rome,36,43,93961
301,811,Reno County,County,KS,KS,Hutchinson,20,155,91015
304,812,Rice County,County,MN,MN,Faribault-Northfield,27,131,197441
2554,813,Spalding County,County,GA,GA,Atlanta-Sandy Springs-Roswell,13,255,99658
2891,814,Blue Earth County,County,MN,MN,Mankato-North Mankato,27,13,174938
1605,815,Catoosa County,County,GA,GA,Chattanooga,13,47,137582
567,816,Ionia County,County,MI,MI,Ionia,26,67,110311
664,817,Otero County,County,NM,NM,Alamogordo,35,35,113982
3176,818,Pittsylvania County,County,VA,VA,Danville,51,143,120437
1609,819,Chatham County,County,NC,NC,Durham-Chapel Hill,37,37,288619
1426,820,Tehama County,County,CA,CA,Red Bluff,6,103,209469
1859,821,Liberty County,County,GA,GA,Hinesville,13,179,125542
2012,822,Sampson County,County,NC,NC,,37,163,98290
3258,823,Lewis and Clark County,County,MT,MT,Helena,30,49,232904
2443,824,Montcalm County,County,MI,MI,Grand Rapids-Wyoming,26,117,103074
3066,825,Washington County,County,NY,NY,Glens Falls,36,115,140658
2214,826,Columbia County,County,NY,NY,Hudson,36,21,220584
1985,827,Pulaski County,County,KY,KY,Somerset,21,199,119297
142,828,Coos County,County,OR,OR,Coos Bay,41,11,188380
2149,829,Bradford County,County,PA,PA,Sayre,42,15,118398
1745,830,Hamblen County,County,TN,TN,Morristown,47,63,116709
2675,831,Crow Wing County,County,MN,MN,Brainerd,27,35,175220
2385,832,Lawrence County,County,OH,OH,Huntington-Ashland,39,87,89357
2201,833,Chippewa County,County,WI,WI,Eau Claire,55,17,138082
1204,834,Mercer County,County,WV,WV,Bluefield,54,55,64240
1298,835,Otsego County,County,NY,NY,Oneonta,36,77,134162
314,836,Sauk County,County,WI,WI,Baraboo,55,111,169021
2226,837,Crawford County,County,AR,AR,Fort Smith,5,33,105079
3067,838,Washington County,County,OH,OH,Marietta,39,167,103186
820,839,Acadia Parish,County,LA,LA,Lafayette,22,1,98288
296,840,Pope County,County,AR,AR,Russellville,5,115,105623
1838,841,Kershaw County,County,SC,SC,Columbia,45,55,106996
325,842,Ward County,County,ND,ND,Minot,38,101,222572
2009,843,Rutland County,County,VT,VT,Rutland,50,21,169504
3186,844,Saint Joseph County,County,MI,MI,Sturgis,26,149,106187
1435,845,Tipton County,County,TN,TN,Memphis,47,167,123909
731,846,Starr County,County,TX,TX,Rio Grande City,48,427,57055
2525,847,Sandusky County,County,OH,OH,Fremont,39,143,102096
214,848,Knox County,County,OH,OH,Mount Vernon,39,83,106841
630,849,Mason County,County,WA,WA,Shelton,53,45,229077
